,Sample.ID,X.2,X.1,ID,Experimenter,Mic..Plate,Tube.number,Tube.weight,Nest.Site,Date.opened,Date.closed,Sex,Dev.stage,Pollen.Weight,Treatment.Group,Vol..Treatment,X,Plate,sample.date,larval.weight,days.to.maturity,dead.on.exp.day,death.date,died,status,X5.May,X7.May,X10.May,X12.May,X14.May,X17.May,X19.May,X20.May,X21.May,X22.May,X23.May,X24.May,X25.May,X26.May,X27.May,X28.May,X29.May,X30.May,X31.May,X1.Jun,X2.Jun,X3.Jun,X4.Jun,X5.Jun,X6.Jun,X7.Jun,X8.Jun,X9.Jun,X10.Jun,X11.Jun,X12.Jun,X13.Jun,X14.Jun,X15.Jun,X16.Jun,X17.Jun,NOTES,closed.coccoon..y.only.,Treatment,time,mic.plate,date.out.of.fridge,date.emerged,did.not.emerge,date.dead,adult.weight,sex,notes
53,MAB12,229,166,NA,Mark,9,2,4.4,Nathalia,5/7/21,5/3/21,F,fl,0.251,None,13.5,,9,5/27/21,0.1374,24,NA,NA,0,1,,,dl,dl,dl,dl,dl,dl,dl,,,,,,sp,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,None,24,9,4/12/22,4/17/22,,,0.031,F,
54,MAB120,475,167,NA,Mark,21,13,4.53,Mark,5/13/21,5/12/21,M,e,0.189,Cap Low,10.2,,21,5/30/21,0.102,18,NA,NA,0,1,,,,,e,fl,dl,dl,dl,,,,,,,,,sp,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Cap Low,18,21,4/12/22,4/14/22,,,0.02,M,
55,MAB121,476,168,NA,Mark,21,13,4.53,Mark,5/13/21,5/12/21,M,e,0.168,Difen High,9,,21,5/29/21,0.0848,17,NA,NA,0,1,,,,,e,fl,dl,dl,dl,,,,,,,,sp,,,,,,,,,,,,,,,NA,NA,NA,NA,,,n,Difen High,17,21,4/12/22,4/14/22,,,0.018,M,
56,MAB122,477,169,NA,Mark,21,13,4.53,Mark,5/13/21,5/12/21,M,e,0.165,Cap High,8.9,,21,5/30/21,0.0872,18,NA,NA,0,1,,,,,e,fl,dl,dl,dl,,,,,,,,,sp,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Cap High,18,21,4/12/22,4/14/22,,,0.018,M,
57,MAB124,478,170,NA,Mark,21,13,4.53,Mark,5/13/21,5/12/21,M,e,0.145,Difen Low,7.8,,21,6/2/21,0.0727,21,NA,NA,0,1,,,,,e,fl,fl,fl,dl,,,,,,,,,,,,sp,,,,,,,,,,,NA,NA,NA,NA,,,,Difen Low,21,21,4/12/22,4/15/22,,,0.018,M,
58,MAB125,479,171,NA,Mark,21,13,4.53,Mark,5/13/21,5/12/21,M,e,0.157,Acetone,8.4,,21,6/3/21,0.0831,22,NA,NA,0,1,,,,,e,fl,fl,dl,dl,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Acetone,22,21,4/12/22,4/17/22,,,0.018,M,
59,MAB126,480,172,NA,Mark,21,13,4.53,Mark,5/13/21,5/12/21,M,e,0.147,Acetone,7.9,,21,5/31/21,0.0758,19,NA,NA,0,1,,,,,e,fl,fl,fl,dl,,,,,,,,,,sp,,,,,,,,,,,,,NA,NA,NA,NA,,,,Acetone,19,21,4/12/22,4/14/22,,,0.016,M,
60,MAB127,481,173,NA,Mark,21,13,4.53,Mark,5/13/21,5/12/21,M,e,0.169,Acetone,9,,21,6/2/21,0.0744,21,NA,NA,0,1,,,,,e,fl,fl,fl,dl,,,,,,,,,,,,sp,,,,,,,,,,,NA,NA,NA,NA,,,yes,Acetone,21,21,4/12/22,4/14/22,,,0.017,M,
61,MAB128,482,174,NA,Mark,21,14,4.44,Mark,5/14/21,5/13/21,F,hl,0.247,None,NA,,21,6/3/21,0.1165,21,NA,NA,0,1,,,,,hl,fl,dl,dl,dl,,,,,,,,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,None,21,21,4/12/22,4/15/22,,,0.027,F,
62,MAB129,483,175,NA,Mark,21,14,4.44,Mark,5/14/21,5/13/21,M,e,0.163,Cap Low,8.9,,21,5/30/21,0.0844,17,NA,NA,0,1,,,,,e,fl,dl,dl,dl,,,,,,,,,sp,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Cap Low,17,21,4/12/22,4/14/22,,,0.019,M,
63,MAB13,230,176,NA,Mark,9,2,4.4,Nathalia,5/7/21,5/3/21,F,fl,0.22,Acetone,11.8,,9,5/28/21,0.1145,25,NA,NA,0,1,,,dl,dl,dl,dl,dl,dl,dl,,,,,,,sp,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Acetone,25,9,4/12/22,4/14/22,,,0.023,F,
64,MAB130,484,177,NA,Mark,21,14,4.44,Mark,5/14/21,5/13/21,M,e,0.169,Difen High,9.1,,21,5/28/21,0.0874,15,NA,NA,0,1,,,,,e,fl,dl,dl,dl,,,,,,,sp,,,,,,,,,,,,,,,,NA,NA,NA,NA,,sampled,,Difen High,15,21,4/12/22,4/14/22,,,0.018,M,
65,MAB131,485,178,NA,Mark,21,14,4.44,Mark,5/14/21,5/13/21,M,e,0.142,Difen Low,7.6,,21,5/30/21,0.0701,17,NA,NA,0,1,,,,,e-doused,fl,dl,dl,dl,,,,,,,,,sp,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Difen Low,17,21,4/12/22,4/14/22,,,0.016,M,
66,MAB132,486,179,NA,Mark,21,14,4.44,Mark,5/14/21,5/13/21,M,e,0.145,Difen High,7.8,,21,6/1/21,0.0757,19,NA,NA,0,1,,,,,e,fl,dl,dl,dl,,,,,,,,,,,sp,,,,,,,,,,,,NA,NA,NA,NA,,,,Difen High,19,21,4/12/22,4/14/22,,,0.017,M,
67,MAB133,487,180,NA,Mark,21,14,4.44,Mark,5/14/21,5/13/21,M,e,0.126,Acetone,6.8,,21,5/29/21,0.0638,16,NA,NA,0,1,,,,,e,fl,fl,fl,dl,,,,,,,,sp,,,,,,,,,,,,,,,NA,NA,NA,NA,,,n,Acetone,16,21,4/12/22,4/14/22,,,0.012,M,
68,MAB134,488,181,NA,Mark,21,14,4.44,Mark,5/14/21,5/13/21,M,e,0.121,Cap High,6.5,,21,5/28/21,0.0615,15,NA,NA,0,1,,,,,e,fl,fl,fl,dl,,,,,,,sp,,,,,,,,,,,,,,,,NA,NA,NA,NA,,,,Cap High,15,21,4/12/22,4/14/22,,,0.011,M,
69,MAB135,489,182,NA,Mark,21,15,3.18,Mark,5/14/21,5/13/21,F,hl,0.211,Difen High,11.3,,21,5/29/21,0.1053,16,NA,NA,0,1,,,,,hl,fl,dl,dl,dl,,,,,,,,sp,,,,,,,,,,,,,,,NA,NA,NA,NA,,,n,Difen High,16,21,4/12/22,4/15/22,,,0.024,M,
